"model","rowid","timestamp","testletid","itemid","alphabet","A","B","C","D","template_nr","item_prompt","response","logprob","finish_reason","cleaned_response","correct_response","correct","stringdist"
"claude-3-5-sonnet-20241022",16,20241026202751,53,1005,"Symbol","~ $","# $",": : ) )","= = ) )",1,"If ~ $ changes to # $, what does : : ) ) change to ?","= = ) )",NA,NA,"= = ) )","= = ) )",1,0
"claude-3-sonnet-20240229",0,20241026202752,53,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"claude-3-sonnet-20240229",1,20241026202753,53,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","jkk",NA,NA,"","j k k",0,3
"claude-3-sonnet-20240229",2,20241026202753,53,1001,"Latin","d e","d f","h i","h j",1,"If d e changes to d f, what does h i change to ?","hi",NA,NA,"","h j",0,2
"claude-3-sonnet-20240229",3,20241026202754,53,1002,"Latin","b c","b b d d","h i","h h j j",1,"If b c changes to b b d d, what does h i change to ?","hidd",NA,NA,"","h h j j",0,4
"claude-3-sonnet-20240229",4,20241026202754,53,1003,"Latin","e f","e h","i j","i l",1,"If e f changes to e h, what does i j change to ?","ik",NA,NA,"","i l",0,2
"claude-3-sonnet-20240229",5,20241026202755,53,1004,"Latin","d e","d f f","i j","i k k",1,"If d e changes to d f f, what does i j change to ?","ijk",NA,NA,"","i k k",0,3
"claude-3-sonnet-20240229",6,20241026202755,53,1005,"Latin","g h","f h","n n o o","m m o o",1,"If g h changes to f h, what does n n o o change to ?","mnoo",NA,NA,"","m m o o",0,4
"claude-3-sonnet-20240229",7,20241026202756,53,1001,"Greek","epsilon zeta","epsilon eta","iota kappa","iota lambda",1,"If epsilon zeta changes to epsilon eta, what does iota kappa change to ?","iotakappa",NA,NA,"","iota lambda",0,2
"claude-3-sonnet-20240229",8,20241026202757,53,1002,"Greek","alpha beta","alpha alpha gamma gamma","eta theta","eta eta iota iota",1,"If alpha beta changes to alpha alpha gamma gamma, what does eta theta change to ?","etatheta",NA,NA,"","eta eta iota iota",0,4
"claude-3-sonnet-20240229",9,20241026202758,53,1003,"Greek","gamma delta","gamma zeta","eta theta","eta kappa",1,"If gamma delta changes to gamma zeta, what does eta theta change to ?","etatheta",NA,NA,"","eta kappa",0,2
"claude-3-sonnet-20240229",10,20241026202759,53,1004,"Greek","zeta eta","zeta theta theta","lambda mu","lambda nu nu",1,"If zeta eta changes to zeta theta theta, what does lambda mu change to ?","lambdamumu",NA,NA,"","lambda nu nu",0,3
"claude-3-sonnet-20240229",11,20241026202800,53,1005,"Greek","zeta eta","epsilon eta","kappa kappa lambda lambda","iota iota lambda lambda",1,"If zeta eta changes to epsilon eta, what does kappa kappa lambda lambda change to ?","kappakappalalambda",NA,NA,"","iota iota lambda lambda",0,4
"claude-3-sonnet-20240229",12,20241026202801,53,1001,"Symbol","! ^","! #","$ {","$ =",1,"If ! ^ changes to ! #, what does $ { change to ?","${",NA,NA,"${","$ =",0,1
"claude-3-sonnet-20240229",13,20241026202802,53,1002,"Symbol","* @","* * % %","! ^","! ! # #",1,"If * @ changes to * * % %, what does ! ^ change to ?","!#%",NA,NA,"!#%","! ! # #",0,2
"claude-3-sonnet-20240229",14,20241026202803,53,1003,"Symbol","! ^","! ~","^ #","^ $",1,"If ! ^ changes to ! ~, what does ^ # change to ?","~#",NA,NA,"~#","^ $",0,2
"claude-3-sonnet-20240229",15,20241026202804,53,1004,"Symbol","^ #","^ ~ ~","{ =","{ : :",1,"If ^ # changes to ^ ~ ~, what does { = change to ?","{==",NA,NA,"{==","{ : :",0,2
"claude-3-sonnet-20240229",16,20241026202805,53,1005,"Symbol","~ $","# $",": : ) )","= = ) )",1,"If ~ $ changes to # $, what does : : ) ) change to ?","::#))",NA,NA,"::#))","= = ) )",0,3
"gpt-3.5-turbo-0125",0,20241026192129,53,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"gpt-3.5-turbo-0125",1,20241026192129,53,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k",NA,NA,"j k k","j k k",1,0
"gpt-3.5-turbo-0125",2,20241026192130,53,1001,"Latin","d e","d f","h i","h j",1,"If d e changes to d f, what does h i change to ?","h j",NA,NA,"h j","h j",1,0
"gpt-3.5-turbo-0125",3,20241026192130,53,1002,"Latin","b c","b b d d","h i","h h j j",1,"If b c changes to b b d d, what does h i change to ?","h j j",NA,NA,"h j j","h h j j",0,1
"gpt-3.5-turbo-0125",4,20241026192131,53,1003,"Latin","e f","e h","i j","i l",1,"If e f changes to e h, what does i j change to ?","i l",NA,NA,"i l","i l",1,0
"gpt-3.5-turbo-0125",5,20241026192131,53,1004,"Latin","d e","d f f","i j","i k k",1,"If d e changes to d f f, what does i j change to ?","i l l",NA,NA,"i l l","i k k",0,2
"gpt-3.5-turbo-0125",6,20241026192132,53,1005,"Latin","g h","f h","n n o o","m m o o",1,"If g h changes to f h, what does n n o o change to ?","m m o o",NA,NA,"m m o o","m m o o",1,0
"gpt-3.5-turbo-0125",7,20241026192132,53,1001,"Greek","epsilon zeta","epsilon eta","iota kappa","iota lambda",1,"If epsilon zeta changes to epsilon eta, what does iota kappa change to ?","iota lambda",NA,NA,"iota lambda","iota lambda",1,0
"gpt-3.5-turbo-0125",8,20241026192133,53,1002,"Greek","alpha beta","alpha alpha gamma gamma","eta theta","eta eta iota iota",1,"If alpha beta changes to alpha alpha gamma gamma, what does eta theta change to ?","eta eta iota iota",NA,NA,"eta eta iota iota","eta eta iota iota",1,0
"gpt-3.5-turbo-0125",9,20241026192133,53,1003,"Greek","gamma delta","gamma zeta","eta theta","eta kappa",1,"If gamma delta changes to gamma zeta, what does eta theta change to ?","eta zeta",NA,NA,"eta zeta","eta kappa",0,1
"gpt-3.5-turbo-0125",10,20241026192134,53,1004,"Greek","zeta eta","zeta theta theta","lambda mu","lambda nu nu",1,"If zeta eta changes to zeta theta theta, what does lambda mu change to ?","lambda mu mu",NA,NA,"lambda mu mu","lambda nu nu",0,2
"gpt-3.5-turbo-0125",11,20241026192134,53,1005,"Greek","zeta eta","epsilon eta","kappa kappa lambda lambda","iota iota lambda lambda",1,"If zeta eta changes to epsilon eta, what does kappa kappa lambda lambda change to ?","epsilon epsilon mu mu",NA,NA,"epsilon epsilon mu mu","iota iota lambda lambda",0,4
"gpt-3.5-turbo-0125",12,20241026192135,53,1001,"Symbol","! ^","! #","$ {","$ =",1,"If ! ^ changes to ! #, what does $ { change to ?","$ { changes to $ ~",NA,NA,"$ ~","$ =",0,1
"gpt-3.5-turbo-0125",13,20241026192135,53,1002,"Symbol","* @","* * % %","! ^","! ! # #",1,"If * @ changes to * * % %, what does ! ^ change to ?","* * # #",NA,NA,"* * # #","! ! # #",0,2
"gpt-3.5-turbo-0125",14,20241026192136,53,1003,"Symbol","! ^","! ~","^ #","^ $",1,"If ! ^ changes to ! ~, what does ^ # change to ?","^ ~",NA,NA,"^ ~","^ $",0,1
"gpt-3.5-turbo-0125",15,20241026192136,53,1004,"Symbol","^ #","^ ~ ~","{ =","{ : :",1,"If ^ # changes to ^ ~ ~, what does { = change to ?","{ ~ ~ ~",NA,NA,"{ ~ ~ ~","{ : :",0,3
"gpt-3.5-turbo-0125",16,20241026192137,53,1005,"Symbol","~ $","# $",": : ) )","= = ) )",1,"If ~ $ changes to # $, what does : : ) ) change to ?",": : ) ) : : ) )",NA,NA,": : ) ) : : ) )","= = ) )",0,6
"gpt-4-0613",0,20241026192137,53,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"gpt-4-0613",1,20241026192138,53,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k",NA,NA,"j k k","j k k",1,0
"gpt-4-0613",2,20241026192139,53,1001,"Latin","d e","d f","h i","h j",1,"If d e changes to d f, what does h i change to ?","h j",NA,NA,"h j","h j",1,0
"gpt-4-0613",3,20241026192139,53,1002,"Latin","b c","b b d d","h i","h h j j",1,"If b c changes to b b d d, what does h i change to ?","h h j j",NA,NA,"h h j j","h h j j",1,0
"gpt-4-0613",4,20241026192140,53,1003,"Latin","e f","e h","i j","i l",1,"If e f changes to e h, what does i j change to ?","i k",NA,NA,"i k","i l",0,1
"gpt-4-0613",5,20241026192140,53,1004,"Latin","d e","d f f","i j","i k k",1,"If d e changes to d f f, what does i j change to ?","i j j",NA,NA,"i j j","i k k",0,2
"gpt-4-0613",6,20241026192141,53,1005,"Latin","g h","f h","n n o o","m m o o",1,"If g h changes to f h, what does n n o o change to ?","m n o o",NA,NA,"m n o o","m m o o",0,1
"gpt-4-0613",7,20241026192141,53,1001,"Greek","epsilon zeta","epsilon eta","iota kappa","iota lambda",1,"If epsilon zeta changes to epsilon eta, what does iota kappa change to ?","iota lambda",NA,NA,"iota lambda","iota lambda",1,0
"gpt-4-0613",8,20241026192142,53,1002,"Greek","alpha beta","alpha alpha gamma gamma","eta theta","eta eta iota iota",1,"If alpha beta changes to alpha alpha gamma gamma, what does eta theta change to ?","eta eta iota iota",NA,NA,"eta eta iota iota","eta eta iota iota",1,0
"gpt-4-0613",9,20241026192143,53,1003,"Greek","gamma delta","gamma zeta","eta theta","eta kappa",1,"If gamma delta changes to gamma zeta, what does eta theta change to ?","eta kappa",NA,NA,"eta kappa","eta kappa",1,0
"gpt-4-0613",10,20241026192143,53,1004,"Greek","zeta eta","zeta theta theta","lambda mu","lambda nu nu",1,"If zeta eta changes to zeta theta theta, what does lambda mu change to ?","lambda nu nu",NA,NA,"lambda nu nu","lambda nu nu",1,0
"gpt-4-0613",11,20241026192144,53,1005,"Greek","zeta eta","epsilon eta","kappa kappa lambda lambda","iota iota lambda lambda",1,"If zeta eta changes to epsilon eta, what does kappa kappa lambda lambda change to ?","iota iota lambda lambda",NA,NA,"iota iota lambda lambda","iota iota lambda lambda",1,0
"gpt-4-0613",12,20241026192144,53,1001,"Symbol","! ^","! #","$ {","$ =",1,"If ! ^ changes to ! #, what does $ { change to ?","$ #",NA,NA,"$ #","$ =",0,1
"gpt-4-0613",13,20241026192145,53,1002,"Symbol","* @","* * % %","! ^","! ! # #",1,"If * @ changes to * * % %, what does ! ^ change to ?","! ! # #",NA,NA,"! ! # #","! ! # #",1,0
"gpt-4-0613",14,20241026192145,53,1003,"Symbol","! ^","! ~","^ #","^ $",1,"If ! ^ changes to ! ~, what does ^ # change to ?","^ ~",NA,NA,"^ ~","^ $",0,1
"gpt-4-0613",15,20241026192146,53,1004,"Symbol","^ #","^ ~ ~","{ =","{ : :",1,"If ^ # changes to ^ ~ ~, what does { = change to ?","{ : :",NA,NA,"{ : :","{ : :",1,0
"gpt-4-0613",16,20241026192146,53,1005,"Symbol","~ $","# $",": : ) )","= = ) )",1,"If ~ $ changes to # $, what does : : ) ) change to ?","# # ) )",NA,NA,"# # ) )","= = ) )",0,2
"gpt-4o-2024-08-06",0,20241026192147,53,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"gpt-4o-2024-08-06",1,20241026192147,53,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k",NA,NA,"j k k","j k k",1,0
"gpt-4o-2024-08-06",2,20241026192148,53,1001,"Latin","d e","d f","h i","h j",1,"If d e changes to d f, what does h i change to ?","h j",NA,NA,"h j","h j",1,0
"gpt-4o-2024-08-06",3,20241026192148,53,1002,"Latin","b c","b b d d","h i","h h j j",1,"If b c changes to b b d d, what does h i change to ?","h h j j",NA,NA,"h h j j","h h j j",1,0
"gpt-4o-2024-08-06",4,20241026192149,53,1003,"Latin","e f","e h","i j","i l",1,"If e f changes to e h, what does i j change to ?","i l",NA,NA,"i l","i l",1,0
"gpt-4o-2024-08-06",5,20241026192149,53,1004,"Latin","d e","d f f","i j","i k k",1,"If d e changes to d f f, what does i j change to ?","i k k",NA,NA,"i k k","i k k",1,0
"gpt-4o-2024-08-06",6,20241026192149,53,1005,"Latin","g h","f h","n n o o","m m o o",1,"If g h changes to f h, what does n n o o change to ?","m n o p",NA,NA,"m n o p","m m o o",0,2
"gpt-4o-2024-08-06",7,20241026192150,53,1001,"Greek","epsilon zeta","epsilon eta","iota kappa","iota lambda",1,"If epsilon zeta changes to epsilon eta, what does iota kappa change to ?","iota lambda",NA,NA,"iota lambda","iota lambda",1,0
"gpt-4o-2024-08-06",8,20241026192150,53,1002,"Greek","alpha beta","alpha alpha gamma gamma","eta theta","eta eta iota iota",1,"If alpha beta changes to alpha alpha gamma gamma, what does eta theta change to ?","eta eta iota iota",NA,NA,"eta eta iota iota","eta eta iota iota",1,0
"gpt-4o-2024-08-06",9,20241026192151,53,1003,"Greek","gamma delta","gamma zeta","eta theta","eta kappa",1,"If gamma delta changes to gamma zeta, what does eta theta change to ?","eta iota",NA,NA,"eta iota","eta kappa",0,1
"gpt-4o-2024-08-06",10,20241026192151,53,1004,"Greek","zeta eta","zeta theta theta","lambda mu","lambda nu nu",1,"If zeta eta changes to zeta theta theta, what does lambda mu change to ?","lambda nu nu",NA,NA,"lambda nu nu","lambda nu nu",1,0
"gpt-4o-2024-08-06",11,20241026192151,53,1005,"Greek","zeta eta","epsilon eta","kappa kappa lambda lambda","iota iota lambda lambda",1,"If zeta eta changes to epsilon eta, what does kappa kappa lambda lambda change to ?","epsilon epsilon lambda lambda",NA,NA,"epsilon epsilon lambda lambda","iota iota lambda lambda",0,2
"gpt-4o-2024-08-06",12,20241026192152,53,1001,"Symbol","! ^","! #","$ {","$ =",1,"If ! ^ changes to ! #, what does $ { change to ?","$ =",NA,NA,"$ =","$ =",1,0
"gpt-4o-2024-08-06",13,20241026192152,53,1002,"Symbol","* @","* * % %","! ^","! ! # #",1,"If * @ changes to * * % %, what does ! ^ change to ?","! ! # #",NA,NA,"! ! # #","! ! # #",1,0
"gpt-4o-2024-08-06",14,20241026192153,53,1003,"Symbol","! ^","! ~","^ #","^ $",1,"If ! ^ changes to ! ~, what does ^ # change to ?","^ $",NA,NA,"^ $","^ $",1,0
"gpt-4o-2024-08-06",15,20241026192153,53,1004,"Symbol","^ #","^ ~ ~","{ =","{ : :",1,"If ^ # changes to ^ ~ ~, what does { = change to ?","{ : :",NA,NA,"{ : :","{ : :",1,0
"gpt-4o-2024-08-06",16,20241026192153,53,1005,"Symbol","~ $","# $",": : ) )","= = ) )",1,"If ~ $ changes to # $, what does : : ) ) change to ?","# # ) )",NA,NA,"# # ) )","= = ) )",0,2
"meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo",0,20241026200649,53,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo",1,20241026200650,53,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","k",NA,NA,"k","j k k",0,2
"meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo",2,20241026200651,53,1001,"Latin","d e","d f","h i","h j",1,"If d e changes to d f, what does h i change to ?","j k change to j l.",NA,NA,"j k j l","h j",0,3
"meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo",3,20241026200651,53,1002,"Latin","b c","b b d d","h i","h h j j",1,"If b c changes to b b d d, what does h i change to ?","j k change to j l 
h i change",NA,NA,"j k j l h i","h h j j",0,5
"meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo",4,20241026200652,53,1003,"Latin","e f","e h","i j","i l",1,"If e f changes to e h, what does i j change to ?","k l
j k
h i change to",NA,NA,"k i","i l",0,2
"meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo",5,20241026200652,53,1004,"Latin","d e","d f f","i j","i k k",1,"If d e changes to d f f, what does i j change to ?","k
j k
h i change to g",NA,NA,"i g","i k k",0,2
"meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo",6,20241026200653,53,1005,"Latin","g h","f h","n n o o","m m o o",1,"If g h changes to f h, what does n n o o change to ?","k
j k
h i change to g",NA,NA,"i g","m m o o",0,4
"meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo",7,20241026200653,53,1001,"Greek","epsilon zeta","epsilon eta","iota kappa","iota lambda",1,"If epsilon zeta changes to epsilon eta, what does iota kappa change to ?","kappa lambda.",NA,NA,"kappa lambda","iota lambda",0,1
"meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo",8,20241026200654,53,1002,"Greek","alpha beta","alpha alpha gamma gamma","eta theta","eta eta iota iota",1,"If alpha beta changes to alpha alpha gamma gamma, what does eta theta change to ?","k
kappa lambda
kappa lambda
",NA,NA,"lambda","eta eta iota iota",0,4
"meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo",9,20241026200655,53,1003,"Greek","gamma delta","gamma zeta","eta theta","eta kappa",1,"If gamma delta changes to gamma zeta, what does eta theta change to ?","kappa lambda
kappa lambda
kappa",NA,NA,"kappa","eta kappa",0,1
"meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo",10,20241026200655,53,1004,"Greek","zeta eta","zeta theta theta","lambda mu","lambda nu nu",1,"If zeta eta changes to zeta theta theta, what does lambda mu change to ?","kappa lambda
kappa
kappa
",NA,NA,"kappa","lambda nu nu",0,3
"meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo",11,20241026200655,53,1005,"Greek","zeta eta","epsilon eta","kappa kappa lambda lambda","iota iota lambda lambda",1,"If zeta eta changes to epsilon eta, what does kappa kappa lambda lambda change to ?","kappa lambda
kappa
kappa
",NA,NA,"kappa","iota iota lambda lambda",0,4
"meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo",12,20241026200656,53,1001,"Symbol","! ^","! #","$ {","$ =",1,"If ! ^ changes to ! #, what does $ { change to ?","k
b c
h i change to h",NA,NA,"k b c h i h","$ =",0,6
"meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo",13,20241026200657,53,1002,"Symbol","* @","* * % %","! ^","! ! # #",1,"If * @ changes to * * % %, what does ! ^ change to ?","k
b b d d
h i change",NA,NA,"k b b d d h i","! ! # #",0,7
"meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo",14,20241026200657,53,1003,"Symbol","! ^","! ~","^ #","^ $",1,"If ! ^ changes to ! ~, what does ^ # change to ?","k
b b d d
h i change",NA,NA,"k b b d d h i","^ $",0,7
"meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo",15,20241026200658,53,1004,"Symbol","^ #","^ ~ ~","{ =","{ : :",1,"If ^ # changes to ^ ~ ~, what does { = change to ?","k
b b d d
h i change",NA,NA,"k b b d d h i","{ : :",0,7
"meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo",16,20241026200658,53,1005,"Symbol","~ $","# $",": : ) )","= = ) )",1,"If ~ $ changes to # $, what does : : ) ) change to ?","k
b b
h i change to h",NA,NA,"k b b h i h","= = ) )",0,6
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",0,20241026200658,53,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",1,20241026200700,53,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k",NA,NA,"j k k","j k k",1,0
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",2,20241026200701,53,1001,"Latin","d e","d f","h i","h j",1,"If d e changes to d f, what does h i change to ?","h j",NA,NA,"h j","h j",1,0
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",3,20241026200702,53,1002,"Latin","b c","b b d d","h i","h h j j",1,"If b c changes to b b d d, what does h i change to ?","h h j j",NA,NA,"h h j j","h h j j",1,0
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",4,20241026200703,53,1003,"Latin","e f","e h","i j","i l",1,"If e f changes to e h, what does i j change to ?","i l",NA,NA,"i l","i l",1,0
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",5,20241026200704,53,1004,"Latin","d e","d f f","i j","i k k",1,"If d e changes to d f f, what does i j change to ?","i k k",NA,NA,"i k k","i k k",1,0
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",6,20241026200705,53,1005,"Latin","g h","f h","n n o o","m m o o",1,"If g h changes to f h, what does n n o o change to ?","m n o o",NA,NA,"m n o o","m m o o",0,1
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",7,20241026200706,53,1001,"Greek","epsilon zeta","epsilon eta","iota kappa","iota lambda",1,"If epsilon zeta changes to epsilon eta, what does iota kappa change to ?","iota lambda",NA,NA,"iota lambda","iota lambda",1,0
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",8,20241026200707,53,1002,"Greek","alpha beta","alpha alpha gamma gamma","eta theta","eta eta iota iota",1,"If alpha beta changes to alpha alpha gamma gamma, what does eta theta change to ?","eta eta iota iota",NA,NA,"eta eta iota iota","eta eta iota iota",1,0
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",9,20241026200708,53,1003,"Greek","gamma delta","gamma zeta","eta theta","eta kappa",1,"If gamma delta changes to gamma zeta, what does eta theta change to ?","eta iota",NA,NA,"eta iota","eta kappa",0,1
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",10,20241026200709,53,1004,"Greek","zeta eta","zeta theta theta","lambda mu","lambda nu nu",1,"If zeta eta changes to zeta theta theta, what does lambda mu change to ?","lambda nu nu",NA,NA,"lambda nu nu","lambda nu nu",1,0
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",11,20241026200710,53,1005,"Greek","zeta eta","epsilon eta","kappa kappa lambda lambda","iota iota lambda lambda",1,"If zeta eta changes to epsilon eta, what does kappa kappa lambda lambda change to ?","iota iota lambda lambda",NA,NA,"iota iota lambda lambda","iota iota lambda lambda",1,0
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",12,20241026200710,53,1001,"Symbol","! ^","! #","$ {","$ =",1,"If ! ^ changes to ! #, what does $ { change to ?","$ =",NA,NA,"$ =","$ =",1,0
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",13,20241026200712,53,1002,"Symbol","* @","* * % %","! ^","! ! # #",1,"If * @ changes to * * % %, what does ! ^ change to ?","! ! # #",NA,NA,"! ! # #","! ! # #",1,0
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",14,20241026200713,53,1003,"Symbol","! ^","! ~","^ #","^ $",1,"If ! ^ changes to ! ~, what does ^ # change to ?","^ ~",NA,NA,"^ ~","^ $",0,1
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",15,20241026200713,53,1004,"Symbol","^ #","^ ~ ~","{ =","{ : :",1,"If ^ # changes to ^ ~ ~, what does { = change to ?","{ : :",NA,NA,"{ : :","{ : :",1,0
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",16,20241026200714,53,1005,"Symbol","~ $","# $",": : ) )","= = ) )",1,"If ~ $ changes to # $, what does : : ) ) change to ?",": : {",NA,NA,": : {","= = ) )",0,4
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",0,20241026200715,53,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,20241026200716,53,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k",NA,NA,"j k k","j k k",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",2,20241026200716,53,1001,"Latin","d e","d f","h i","h j",1,"If d e changes to d f, what does h i change to ?","h j",NA,NA,"h j","h j",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",3,20241026200717,53,1002,"Latin","b c","b b d d","h i","h h j j",1,"If b c changes to b b d d, what does h i change to ?","h h j j",NA,NA,"h h j j","h h j j",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",4,20241026200718,53,1003,"Latin","e f","e h","i j","i l",1,"If e f changes to e h, what does i j change to ?","i l",NA,NA,"i l","i l",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",5,20241026200719,53,1004,"Latin","d e","d f f","i j","i k k",1,"If d e changes to d f f, what does i j change to ?","i j j",NA,NA,"i j j","i k k",0,2
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",6,20241026200720,53,1005,"Latin","g h","f h","n n o o","m m o o",1,"If g h changes to f h, what does n n o o change to ?","m n o o",NA,NA,"m n o o","m m o o",0,1
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",7,20241026200721,53,1001,"Greek","epsilon zeta","epsilon eta","iota kappa","iota lambda",1,"If epsilon zeta changes to epsilon eta, what does iota kappa change to ?","iota lambda",NA,NA,"iota lambda","iota lambda",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",8,20241026200722,53,1002,"Greek","alpha beta","alpha alpha gamma gamma","eta theta","eta eta iota iota",1,"If alpha beta changes to alpha alpha gamma gamma, what does eta theta change to ?","eta eta iota iota",NA,NA,"eta eta iota iota","eta eta iota iota",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",9,20241026200723,53,1003,"Greek","gamma delta","gamma zeta","eta theta","eta kappa",1,"If gamma delta changes to gamma zeta, what does eta theta change to ?","eta psi",NA,NA,"eta psi","eta kappa",0,1
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",10,20241026200724,53,1004,"Greek","zeta eta","zeta theta theta","lambda mu","lambda nu nu",1,"If zeta eta changes to zeta theta theta, what does lambda mu change to ?","lambda mu mu",NA,NA,"lambda mu mu","lambda nu nu",0,2
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",11,20241026200725,53,1005,"Greek","zeta eta","epsilon eta","kappa kappa lambda lambda","iota iota lambda lambda",1,"If zeta eta changes to epsilon eta, what does kappa kappa lambda lambda change to ?","iota iota lambda lambda",NA,NA,"iota iota lambda lambda","iota iota lambda lambda",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",12,20241026200726,53,1001,"Symbol","! ^","! #","$ {","$ =",1,"If ! ^ changes to ! #, what does $ { change to ?","$ =",NA,NA,"$ =","$ =",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",13,20241026200727,53,1002,"Symbol","* @","* * % %","! ^","! ! # #",1,"If * @ changes to * * % %, what does ! ^ change to ?","! ! # #",NA,NA,"! ! # #","! ! # #",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",14,20241026200728,53,1003,"Symbol","! ^","! ~","^ #","^ $",1,"If ! ^ changes to ! ~, what does ^ # change to ?","^ ~",NA,NA,"^ ~","^ $",0,1
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",15,20241026200728,53,1004,"Symbol","^ #","^ ~ ~","{ =","{ : :",1,"If ^ # changes to ^ ~ ~, what does { = change to ?","{ = =",NA,NA,"{ = =","{ : :",0,2
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",16,20241026200730,53,1005,"Symbol","~ $","# $",": : ) )","= = ) )",1,"If ~ $ changes to # $, what does : : ) ) change to ?","# : ) )",NA,NA,"# : ) )","= = ) )",0,2
"google/gemma-2-27b-it",0,20241026200730,53,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"google/gemma-2-27b-it",1,20241026200733,53,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k 
",NA,NA,"j k k","j k k",1,0
"google/gemma-2-27b-it",2,20241026200734,53,1001,"Latin","d e","d f","h i","h j",1,"If d e changes to d f, what does h i change to ?","h k 
",NA,NA,"h k","h j",0,1
